zone,state,lga,sector,ea,hhid,indiv,cropcode,FILTER1,phl_q1,phl_q2,phl_q3,phl_q4__1,phl_q4__2,phl_q4__3,phl_q4__4,phl_q4__5,phl_q4__6,phl_q5
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,4,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,2,1080. MAIZE,YES,1. YES,2,3,0,0,1,0,0,0,0. NONE
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2,1080. MAIZE,YES,1. YES,1,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2,"2180. POTATO, IRISH",YES,1. YES,2,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1,"2180. POTATO, IRISH",YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1601,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1401,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,5,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,5,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1601,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1401,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1,2120. OKRO,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,1020. CASSAVA,YES,1. YES,1,7,1,0,0,0,1,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,1020. CASSAVA,YES,1. YES,1,5,1,0,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,1080. MAIZE,YES,1. YES,1,3,0,0,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,1080. MAIZE,YES,1. YES,2,5,0,1,1,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,1080. MAIZE,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,"1121. YAM, WHITE",YES,1. YES,1,2,0,1,0,1,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,"1121. YAM, WHITE",YES,1. YES,3,4,0,0,0,1,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,"1121. YAM, WHITE",YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,7,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,3,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,6,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,8,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2,2190. PUMPKIN,YES,1. YES,6,4,0,1,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1,1080. MAIZE,YES,1. YES,3,2,1,1,0,0,0,0,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1,2190. PUMPKIN,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,7,1020. CASSAVA,YES,1. YES,2,4,0,0,0,0,0,1,0. NONE
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,13,1020. CASSAVA,YES,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,6,1020. CASSAVA,YES,2. NO,,,,,,,,,
