zone,state,lga,sector,ea,hhid,cropcode,phl_q02_1,phl_q03_1,phl_q04_1,phl_q05_1,phl_q06_1,phl_q07__1_1,phl_q07__2_1,phl_q07__3_1,phl_q07__4_1,phl_q07__5_1,phl_q07__6_1,phl_q02_2,phl_q03_2,phl_q04_2,phl_q05_2,phl_q06_2,phl_q07__1_2,phl_q07__2_2,phl_q07__3_2,phl_q07__4_2,phl_q07__5_2,phl_q07__6_2,phl_q02_3,phl_q03_3,phl_q04_3,phl_q05_3,phl_q06_3,phl_q07__1_3,phl_q07__2_3,phl_q07__3_3,phl_q07__4_3,phl_q07__5_3,phl_q07__6_3,phl_q08__1,phl_q09_1,phl_q10_1,phl_q11_1,phl_q12__1_1,phl_q12__2_1,phl_q12__3_1,phl_q12__4_1,phl_q12__5_1,phl_q12__6_1,phl_q08__2,phl_q09_2,phl_q10_2,phl_q11_2,phl_q12__1_2,phl_q12__2_2,phl_q12__3_2,phl_q12__4_2,phl_q12__5_2,phl_q12__6_2,phl_q08__3,phl_q09_3,phl_q10_3,phl_q11_3,phl_q12__1_3,phl_q12__2_3,phl_q12__3_3,phl_q12__4_3,phl_q12__5_3,phl_q12__6_3
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1080. MAIZE,2. NO,,,,,,,,,,,1. YES,1,1,6,3000,0,1,0,1,0,0,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,"2180. POTATO, IRISH",2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,2120. OKRO,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,"1121. YAM, WHITE",2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,2190. PUMPKIN,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,2190. PUMPKIN,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,2190. PUMPKIN,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,2190. PUMPKIN,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,1080. MAIZE,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,1020. CASSAVA,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,2,,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,,2. NO,,,,,,,,,
